model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
UKESM1-0-LL,1991,12,31,historical,0.62029986624,1.1603024064,0.22827015647999999,2.38329
UKESM1-0-LL,1992,1,31,historical,0.5070623759999999,0.8964095472000001,0.17236061279999998,2.2392106
UKESM1-0-LL,1992,2,29,historical,1.3784700096,1.4250235392,0.4801894704,2.168258
UKESM1-0-LL,1992,3,31,historical,3.8664892512,2.445966288,1.3883660928,2.3079724
UKESM1-0-LL,1992,4,30,historical,5.985281376,2.4351644736,2.10874752,2.5519662
UKESM1-0-LL,1992,5,31,historical,8.534183328,2.537578368,3.523729824,2.82203
UKESM1-0-LL,1992,6,30,historical,7.911301881600001,1.993300704,3.8263249152,2.902443
UKESM1-0-LL,1992,7,31,historical,5.53601952,1.966035456,3.291212736,2.8405557
UKESM1-0-LL,1992,8,31,historical,5.1046257024,1.5803785151999998,2.6267514624,2.7726629
UKESM1-0-LL,1992,9,30,historical,5.256912528,1.5425743680000001,2.6626654368,2.7642064
UKESM1-0-LL,1992,10,31,historical,3.259270656,0.9355422240000001,1.4515698528,2.7133884
UKESM1-0-LL,1992,11,30,historical,0.8082910080000001,1.339735248,0.34500879936,2.5224442
UKESM1-0-LL,1992,12,31,historical,0.20914154208000002,1.3607790048000001,0.1125946224,2.3281193
UKESM1-0-LL,1993,1,31,historical,0.3412776672,1.1065316256,0.12423735936,2.1576276
UKESM1-0-LL,1993,2,28,historical,1.0441297008000001,1.3958224992000001,0.36892960704,2.0776367
UKESM1-0-LL,1993,3,31,historical,1.3234201632,1.5525087264,0.43879297536,2.0666034
UKESM1-0-LL,1993,4,30,historical,5.775273216,2.9697478848,2.1812320224,2.4162362
UKESM1-0-LL,1993,5,31,historical,7.217971776,2.8552821408,2.423355408,2.6956136
UKESM1-0-LL,1993,6,30,historical,9.521368992,5.0172431616,4.0940334144,2.8841546
UKESM1-0-LL,1993,7,31,historical,6.202226592,1.5431024448,3.2146600895999997,2.8584192
UKESM1-0-LL,1993,8,31,historical,6.570554976,1.7302366368,3.07259568,2.8317974
UKESM1-0-LL,1993,9,30,historical,5.013278179199999,1.2232591488,2.4369713568,2.7952201
UKESM1-0-LL,1993,10,31,historical,3.412513152,1.4696633952,1.5541295904,2.7187212
UKESM1-0-LL,1993,11,30,historical,2.0607105024,1.0548137951999998,0.8391014208,2.596496
UKESM1-0-LL,1993,12,31,historical,0.29057615999999997,1.7659211328,0.22404989664,2.4063118
UKESM1-0-LL,1994,1,31,historical,0.23900865695999998,1.2678544224000001,0.08631531072000001,2.2241683
UKESM1-0-LL,1994,2,28,historical,0.8158948992,1.1592151488,0.26809974432,2.1041749
UKESM1-0-LL,1994,3,31,historical,2.153333376,1.7305298784,0.7207612416000001,2.1527832
UKESM1-0-LL,1994,4,30,historical,3.4353514368,1.9464963551999999,1.0911096143999999,2.3153534
UKESM1-0-LL,1994,5,31,historical,7.841131430399999,2.2947589440000002,2.7681374592,2.6722054
UKESM1-0-LL,1994,6,30,historical,7.4203712064,1.6050362112,3.6820900512,2.8393557
UKESM1-0-LL,1994,7,31,historical,4.0240486368,1.7654929343999999,2.4388047648,2.7484949
UKESM1-0-LL,1994,8,31,historical,2.513908656,1.893652992,1.4719727808,2.6145244
UKESM1-0-LL,1994,9,30,historical,2.174016672,1.4664783456000001,1.122959592,2.4819221
UKESM1-0-LL,1994,10,31,historical,2.6578278144,0.926066952,1.1070690336,2.4450316
UKESM1-0-LL,1994,11,30,historical,1.1528642304,1.1201078304,0.44964789120000004,2.3344297
UKESM1-0-LL,1994,12,31,historical,0.7980848352000001,1.3728204864000002,0.299095632,2.218629
UKESM1-0-LL,1995,1,31,historical,0.28604531808,1.2927606911999998,0.10709162495999999,2.1014183
