model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
CESM2,2002,6,30,historical,9.318699648,1.1565573120000001,4.7103825888,3.3182323
CESM2,2002,7,31,historical,5.962825584,0.6679597824,4.28393016,3.304443
CESM2,2002,8,31,historical,3.4845427584,0.52904407392,1.5624291743999998,2.4145849
CESM2,2002,9,30,historical,1.0891414224,0.6702262271999999,0.8745755328,0.8346624
CESM2,2002,10,31,historical,0.45994386816000005,2.0709735264,0.3969527904,0.6549563
CESM2,2002,11,30,historical,0.733115232,1.4303284128,0.69136416,1.942875
CESM2,2002,12,31,historical,0.23731138944,0.6831844128000001,0.35195758848,1.950945
CESM2,2003,1,31,historical,0.12415592736,0.18124775999999998,0.2056405968,1.1687443
CESM2,2003,2,28,historical,0.011483586432,0.8782146144,0.015684136704000002,0.026147548
CESM2,2003,3,31,historical,0.58482506304,1.544063904,0.39847170239999996,0.8347557
CESM2,2003,4,30,historical,1.8937575359999999,1.6583075135999998,0.9685882800000001,1.053176
CESM2,2003,5,31,historical,4.031646911999999,1.738833696,1.6639964352,1.371371
CESM2,2003,6,30,historical,8.265744576,1.751215248,3.4001720352,2.503357
CESM2,2003,7,31,historical,8.188184592,1.3141231776000002,4.0339498176,2.7520013
CESM2,2003,8,31,historical,5.198764896,1.3981382783999998,1.9069038144,2.1035116
CESM2,2003,9,30,historical,1.9488836736,1.319631264,0.9826106112,0.81689906
CESM2,2003,10,31,historical,1.4899925376,1.3612239648000002,0.8051885568000001,0.79675174
CESM2,2003,11,30,historical,0.56266759296,0.9951220223999999,0.38318617728000004,0.7819057
CESM2,2003,12,31,historical,0.26122613184,0.8735733792,0.2553224544,0.76101
CESM2,2004,1,31,historical,0.36164380607999996,0.8834380128,0.28772485632,0.7326261
CESM2,2004,2,29,historical,0.42339214080000004,0.6971677344,0.24424090271999999,0.7034508
CESM2,2004,3,31,historical,0.7191280224000001,0.8795799935999999,0.31963940928,0.6763349
CESM2,2004,4,30,historical,1.740275712,1.2826830816,0.6602920416,0.683495
CESM2,2004,5,31,historical,4.617417744,1.4183618399999998,1.6003932479999998,1.1372409
CESM2,2004,6,30,historical,8.024556384,1.349990496,3.273371568,2.3273199
CESM2,2004,7,31,historical,7.6591336320000005,1.18989432,3.714021936,2.5002203
CESM2,2004,8,31,historical,3.6914733504,1.0354438656,1.3896999360000002,1.6831919
CESM2,2004,9,30,historical,2.0104248384,1.4725681631999998,1.114992,0.822028
CESM2,2004,10,31,historical,1.3784617152,1.3317659712,0.8008768079999999,0.8595195
CESM2,2004,11,30,historical,0.6619180896,0.9262392336,0.42706980864,0.8815463
CESM2,2004,12,31,historical,0.46139756544000005,0.957758256,0.3935869488,0.8843642
CESM2,2005,1,31,historical,0.42522995519999995,0.941175504,0.38008942848,0.87195027
CESM2,2005,2,28,historical,0.5692510656,0.8676340704,0.37037854368,0.8514807
CESM2,2005,3,31,historical,1.0875946464,1.0022609088,0.49707273024,0.82920194
CESM2,2005,4,30,historical,2.042416944,1.1681997983999999,0.7815810528,0.8618695
CESM2,2005,5,31,historical,4.5646946496,1.3213935648000001,1.831390992,1.3383776
CESM2,2005,6,30,historical,7.879743936,1.4452972128,3.252068352,2.4354966
CESM2,2005,7,31,historical,7.206186816000001,0.9330128639999999,3.7993420224,2.6058953
CESM2,2005,8,31,historical,2.9310123456,0.64557648,1.148923872,1.7201709
CESM2,2005,9,30,historical,1.9160813952000002,1.6292994048,1.2370428864,0.9417323
